Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
one big home,nr,,,documentary,02/27/2017 (mon),thomas bena,ind,independent,,,english,,,Q1 2017,,,,0,0,0,0,0,0,0,0,0,88
"i love you, man",r,,"andy samberg, j.k. simmons, jaime pressly, jane curtin, jason segel, jon favreau, paul rudd, rashida jones",comedy,3/20/2009,john hamburg,par,paramount,2009,,english,"donald de line, john hamburg","de line pictures, dreamworks skg, montecito picture company",Q1 2009,quad,flat,john hamburg,"72,013,010",144,"2,711","2,829","24,406,773","6,298,041","6,570","17,810,270","2,711",105
bellflower,r,,"evan glodell, jessie wiseman, rebekah brandes, tyler dawson, vincent grashaw","suspense, romance",8/5/2011,evan glodell,oscil,oscilloscope pictures,2011,,english,,,Q3 2011,,,evan glodell,"168,226",102,2,13,"31,590",0,"11,140","22,279",2,105
"i, frankenstein",pg13,,"aaron eckhart, aden young, bill nighy, caitlin stasey, chris pang, deniz akdeniz, goran d. kleut, jai courtney, kevin grevioux, mahesh jadu, miranda otto, socratis otto, steve mouzakis, virginie le brun, yvonne strahovski","action, fantasy, science fiction",1/24/2014,stuart beattie,lgf,lionsgate,2014,,english,"andrew mason, gary lucchesi, richard wright, tom rosenberg","death ray films, hopscotch features, lakeshore entertainment",Q1 2014,quad,"3d, imax, scope",stuart beattie,"19,075,290",109,"2,753","2,753","10,970,070","2,866,972","3,128","8,610,441","2,753",92
"two escobars, the",nr,,,"documentary, foreign",8/27/2010,"jeff zimbalist, michael zimbalist",ind,independent,2010,,english,"daniela silverio, jeff zimbalist, michael zimbalist",,Q3 2010,,,"jeff zimbalist, michael zimbalist","10,942",74,1,1,"10,942","2,792","7,591","7,591",1,100
sex positive,r,,,documentary,6/12/2009,daryl wein,rgnt,regent releasing,2010,,english,"daryl wein, david oliver cohen",,Q2 2009,dolby sr,flat,,"12,069",368,1,1,"5,604",0,"3,408","3,408",1,75
take me to the river (2014),pg,,terrence howard,documentary,9/12/2014,martin shore,abr,abramorama,2016,,english,,,Q3 2014,dolby srd,flat,,"65,516",511,12,13,"35,074",0,"2,132","25,588",12,95
medusa,nr,,jeff allen,horror,10/2/2015,jorge ameer,ind,independent,,,english,jorge ameer,,Q4 2015,,,,0,0,0,0,0,0,0,0,0,109
ante up,nr,,"jerry banks, kace campbell",comedy,4/17/2009,jonathan salemi,ind,independent,,,english,jonathan salemi,,Q2 2009,,,jonathan salemi,0,0,0,0,0,0,0,0,0,80
strong black woman,,,"esquire duke, jennifer brinker, martrell upton",drama,11/28/2013 (thu),carl jackson,ind,independent,,,english,stacey buckner,,Q4 2013,dolby srd,flat,,0,0,0,0,0,0,0,0,0,0
christine,r,,"maria dizzia, michael c. hall, rebecca hall",drama,10/14/2016,antonio campos,orch,the orchard,2017,,english,"craig shilowich, melody c. roscher",,Q4 2016,,,craig shilowich,"299,000",123,1,57,"17,676","3,746","11,744","11,744",1,115
127 hours,r,,"amber tamblyn, clemence poesy, darin southam, james franco, kate burton, kate mara, lizzy caplan","drama, adventure, foreign",11/5/2010,danny boyle,fsl,fox searchlight,2011,,english,"christian colson, danny boyle, john smithson","cloud eight films, dune entertainment",Q4 2010,quad,flat,"danny boyle, simon beaufoy","18,335,230",116,4,916,"372,989","77,262","66,213","264,851",4,95
ballers,,,"kevin hart, lebron james",comedy,unset,malcolm d. lee,uni,universal,,,english,brian grazer,imagine entertainment,,quad,,,0,0,0,0,0,0,0,0,0,0
21 years: richard linklater,nr,,"billy bob thornton, ethan hawke, jack black, jason reitman, julie delpy, keanu reeves, matthew mcconaughey",documentary,11/7/2014,,grav,gravitas ventures,2015,,english,"melanie miller, michael dunaway, tara westwood",,Q4 2014,dolby srd,flat,"michael dunaway, tara westwood",0,67,0,0,0,0,0,0,0,79
"case for christ, the",pg,,"erika christensen, faye dunaway, mike vogel, robert forster",drama,4/7/2017,jon gunn,pure,pure flix,2017,,english,,,Q2 2017,dolby srd,,brian bird,"14,682,684",130,"1,174","1,386","5,727,704","1,541,531","3,380","3,967,885","1,174",112
sing your song,nr,,harry belafonte,documentary,1/13/2012,susanne rostock,ind,independent,2012,,english,"gina belafonte, jim brown, julius r. nasso, michael cohl, william eigen",,Q1 2012,stereo,digital,,"46,715",137,2,4,"17,316",0,"6,730","13,459",2,104
thank you for your service (2016),nr,,,documentary,10/7/2016,tom donahue,gathr,gathr films,,,english,,,Q4 2016,,,,"22,759",0,1,4,459,0,344,344,1,101
"education of charlie banks, the",nr,,"chris marquette, eva amurri, jason ritter, jesse eisenberg, sebastian stan",drama,3/27/2009,fred durst,anchr,anchor bay,2009,,english,marisa polvino,"straight up films, inc.",Q1 2009,,scope,peter elkoff,"15,078",62,3,3,"11,461","3,326","2,846","8,537",3,100
vito bonafacci,nr,,"carin mei, emelise aleandri, ercole ventura, louis vanaria, marcantonio mei, maria cofano, mike rizzo, paul borghese, ralph squillace, tisha tinsman, william demeo",drama,5/6/2011,john martoccia,cavu,cavu pictures,,,english,john martoccia,,Q2 2011,dolby sr,digital,john martoccia,"9,217",0,1,1,"3,771",621,"3,027","3,027",1,97
final girl,r,,"abigail breslin, alexander ludwig, cameron bright, logan huffman, wes bentley","suspense, drama",8/14/2015,tyler shields,cndgm,cinedigm entertainment,2015,,english,"jack nasser, joseph nasser",,Q3 2015,dolby srd,scope,"adam prince, alejandro seri, johnny t. silver, steve scarlata",0,53,10,10,0,0,0,0,10,84
"belko experiment, the",r,,"adria arjona, john c. mcginley, john gallagher jr., josh brener, michael rooker, sean gunn, tony goldwyn","horror, action, suspense",3/17/2017,greg mclean,otl,otl releasing,2017,,english,"james gunn, peter safran",,Q1 2017,dolby srd,scope,james gunn,"10,166,820",102,"1,341","1,341","5,770,565","1,518,000","3,085","4,137,230","1,341",88
barely lethal,pg13,,"dan fogler, dove cameron, gabriel basso, hailee steinfeld, jaime king, jessica alba, rachael harris, rob huebel, samuel l. jackson, sophie turner, thomas mann","action, adventure, comedy",5/29/2015,kyle newman,a24,a24,2015,,english,"brett ratner, john cheng, sukee chew, ted hartley, vanessa coifman",,Q2 2015,dolby srd,flat,john d'arco,"6,075",67,2,22,"2,804",0,863,"1,726",2,99
anguish,nr,,,"drama, suspense",12/18/2015,sonny mallhi,grav,gravitas ventures,2000,,english,"guy danella, sonny mallhi",,Q4 2015,dolby srd,scope,sonny mallhi,0,"-5,687",10,10,0,0,0,0,10,92
chely wright: wish me away,nr,,chely wright,documentary,6/1/2012,"beverly kopf, bobbie birleffi",fsr,first run,2012,,english,"beverly kopf, bobbie birleffi",,Q2 2012,,,,"18,618",137,4,4,"6,307",0,"1,252","5,008",4,0
echo park,nr,,"anthony okungbowa, mamie gummer, maurice compte, ricky rico",drama,4/15/2016,amanda marsalis,ind,independent,,,english,"anthony okungbowa, eric hayes",,Q2 2016,,,catalina aguilar mastretta,0,0,0,0,0,0,0,0,0,88
jimmy vestvood: amerikan hero,nr,,"deanna russo, john heard, matthew glave, maz jobrani, sheila vand",comedy,5/13/2016,jonathan kesselman,ind,independent,,,,"amir ohebsion, ray moheet",,Q2 2016,dolby srd,flat,amir ohebsion,"251,291",0,4,6,"78,250",0,"15,215","60,860",4,84
back to the jurassic,pg,,"dee bradley baker, jane lynch, john dimaggio, melanie griffith, pamela adlon, rob schneider, stephen baldwin, tara strong, tom kenny, william baldwin, yuri lowenthal","animation, family, foreign",6/5/2015,"john kafka, yoon-suk choi",cje,cj entertainment,2015,,english,"david lovegren, jae woo park, jae y. moh, joonbum heo, robert abramoff",,Q2 2015,stereo,"3d, scope","adam beechen, james greco, zachary rosenblatt","3,822",4,0,8,0,0,0,0,0,86
walt before mickey,nr,,"ayla kell, david henrie, jodie sweetin, jon heder, taylor gray, thomas ian nicholas",drama,8/14/2015,khoa le,ind,independent,2015,,english,,,Q3 2015,,,"armando gutierrez, arthur l. bernstein",0,116,0,0,0,0,0,0,0,120
victor crowley,nr,,"dave sheridan, kane hodder, laura ortiz, parry shen","horror, comedy",10/07/2017 (sat),adam green,ind,independent,2018,,english,"cory neal, sarah elbert, will barratt",,Q4 2017,,,adam green,0,122,0,0,0,0,0,0,0,93
breaking point: war for democracy ukrain,nr,,,documentary,3/2/2018,mark jonathan harris,syn,synergetic distribution,,,english,"mark jonathan harris, maxim asadchiy, oles sanin, paul wolansky, peter borisow",,Q1 2018,,flat,"mark jonathan harris, paul wolansky",0,0,0,0,0,0,0,0,0,97
jordon saffron taste this!,r,,"anna hagopian, joel rogers, kinga philipps, rachel hunter, sergio myers, steve schirripa",comedy,9/18/2009,sergio myers,ind,independent,2010,,english,sergio myers,,Q3 2009,,,sergio myers,0,200,0,0,0,0,0,0,0,88
"perfect getaway, a",r,,"chris hemsworth, kiele sanchez, milla jovovich, steve zahn, timothy olyphant",suspense,8/7/2009,david twohy,uni,universal,2009,,english,"mark canton, robbie brenner, ryan kavanaugh, tucker tooley","davis entertainment, qed international, relativity media, rogue pictures",Q3 2009,quad,scope,david twohy,"15,514,460",144,"2,159","2,159","8,700,235","2,094,505","2,755","5,948,555","2,159",97
ghostbusters (1984 original),nr,,,special events,06/08/2016 (wed),ivan reitman,fthm,fathom events,,,english,,,Q2 2016,,,,0,0,0,0,0,0,0,0,0,125
"last fall, the",nr,,"darrin dewitt henson, harry lennix, keith david, lance gross, michael h. moss, nicole beharie, obba babatunde, vanessa bell calloway",drama,10/26/2012,matthew a. cherry,ind,independent,2013,,english,"monica a. young, nikki love, scott hebert",,Q4 2012,,,matthew a. cherry,0,81,0,0,0,0,0,0,0,0
two trains runnin',nr,,common,documentary,12/2/2016,sam pollard,ind,independent,,,english,"benjamin hedin, dava whisenant",,Q4 2016,dolby srd,digital,benjamin hedin,"5,451",0,1,1,"5,451",0,"5,451","5,451",1,82
avengers: age of ultron,pg13,,"=""aaron taylor-johnson, andy serkis, anthony mackie, chris evans, chris hemsworth, cobie smulders, don cheadle, elizabeth olsen, hayley atwell, idris elba, james spader, jeremy renner, lou ferrigno, mark ruffalo, paul bettany, robert downey  jr., samuel l","action, adventure, fantasy, science fiction",5/1/2015,joss whedon,dis,disney,2015,,english,kevin feige,marvel studios,Q2 2015,quad,"digital 3d, imax",joss whedon,"459,005,868",154,"4,276","4,276","235,655,468","84,424,532","44,731","191,271,109","4,276",141
passing strange,,,"chad goodridge, colman domingo, daniel breaker, de'adre aziza, eisa davis",musical,8/21/2009,spike lee,ind,independent,2010,,english,"elizabeth ireland mccann, steve klein",40 acres & a mule filmworks,Q3 2009,,,,0,144,0,0,0,0,0,0,0,136
deal (2008),pg13,,"burt reynolds, michael arata, shannon allen, shannon elizabeth",drama,4/25/2008,gil cates jr.,mgm,mgm,2008,,english,"albert j. salzer, marc weinstock, michael arata, steve austin","andertainment group, crescent city pictures, seven arts pictures, tag entertainment",Q2 2008,quad,flat,,"61,626",116,50,51,"51,254","11,582",706,"35,281",50,87
"power of few, the",r,,"anthony anderson, christian slater, christopher walken, jesse bradford, moon bloodgood, nicky whelan, q'orianka kilcher","science fiction, action, drama",2/15/2013,leone marucci,steel,steelyard pictures,2013,,english,"fred d'amico, jay thames, jimmy holcomb, leone marucci, q'orianka kilcher, scott macfarland",,Q1 2013,dolby srd,digital,,"30,444",144,2,18,"7,913",0,"3,807","7,614",2,95
1 buck,nr,,"cassi colvin, john freeman, katie ryan","drama, suspense",9/22/2017,fabien dufils,ind,independent,,,english,,,Q3 2017,,scope,fabien dufils,0,0,0,0,0,0,0,0,0,90
beyond the mask (gathr),pg,,"andrew cheney, john rhys-davies, kara killmer","action, drama",04/06/2015 (mon),chad burns,gathr,gathr films,2015,,english,aaron burns,,Q2 2015,,,paul mccusker,"795,714",155,181,181,"140,384","242,846","1,106","18,800",17,118
transit (2012),,,"diora baird, harold perrineau, james frain, jim caviezel","drama, crime, suspense",,antonio negret,oth,other,,,english,"courtney solomon, moshe diamant",,,,,michael gilvary,0,0,0,0,0,0,0,0,0,0
over her dead body (wb),pg13,,"eva longoria, jason biggs, lake bell, lindsay sloane, paul rudd, stephen root",romantic comedy,4/18/2008,jeff lowell,wb,warner bros.,2008,,english,paul brooks,,Q2 2008,quad,scope,,0,18,0,0,0,0,0,0,0,95
waking sleeping beauty,pg,,,documentary,3/26/2010,don hahn,dis,disney,2010,,english,"don hahn, peter schneider",,Q1 2010,quad,flat,,"80,741",249,5,5,"45,772","10,337","6,623","33,115",5,86
taken,pg13,,"famke janssen, jon gries, katie cassidy, leland orser, liam neeson, maggie grace, xander berkeley","action, foreign, suspense",1/30/2009,pierre morel,fox,20th century fox,2009,,english,"india osborne, luc besson, pierre-ange le pogom","europacorp, grive productions, m6 films, wintergreen productions",Q1 2009,"dts, dolby srd",scope,"luc besson, robert mark kamen","145,000,989",102,"3,183","3,184","33,063,598","9,417,370","7,765","24,717,037","3,183",91
footloose,pg13,,"dennis quaid, julianne hough, kenny wormald, mary-charles jones, miles teller, patrick john flueger, ray mckinnon, ser'darius william blain, ziah colon","drama, comedy, musical",10/14/2011,craig brewer,par,paramount,2012,,english,"craig zadan, dylan sellers, neil meron","dylan sellers productions, mtv films, spyglass entertainment",Q4 2011,quad,scope,"craig brewer, jon hartmere","51,802,742",144,"3,549","3,555","20,013,031","5,432,058","4,383","15,556,113","3,549",113
multiple sarcasms,r,,"dana delany, india ennenga, laila robins, mario van peebles, mira sorvino, stockard channing, timothy hutton",drama,5/7/2010,brooks branch,macr,mac releasing,2010,,english,chris bongirne,,Q2 2010,dolby srd,digital,"brooks branch, linda morris","29,731",95,15,15,"23,175",0,"1,068","16,025",15,0
aftermath (2015),nr,,"andre royo, c.j. thomason, christine kelly, edward furlong, monica keena",action,7/18/2014,peter engert,image,image entertainment,2014,,english,,,Q3 2014,dolby srd,flat,christian mcdonald,0,39,10,10,0,0,0,0,10,92
anything for you,nr,,"aaron mathias, diana cherkas, julie fine, pooja kumar, sam ghosh","drama, romance",4/23/2010,anand alagappan,ind,independent,,,english,"anand alagappan, kevin desmond",,Q2 2010,stereo,flat,"anand alagappan, priti trivedi",0,0,0,0,0,0,0,0,0,105
"genius of marian, the",,,,"documentary, foreign",04/18/2013 (thu),"anna fitch, banker white",ind,independent,,,english,,,Q2 2013,,,,0,0,0,0,0,0,0,0,0,85
met encore: tosca (2016),nr,,,special events,06/22/2016 (wed),"event director, riccardo frizza",fthm,fathom events,,,,,,Q2 2016,,,,0,0,0,0,0,0,0,0,0,0
hey boo: harper lee and to kill a mockin,nr,,"andrew young, anna quindlen, diane mcwhorter, jon meacham, oprah winfrey, richard russo, rick bragg, rosanne cash, scott turow, tom brokaw, wally lamb",documentary,5/13/2011,mary murphy,fsr,first run,,,english,mary murphy,,Q2 2011,stereo,digital,mary murphy,"31,135",0,3,4,"8,824",0,"1,819","5,457",3,79
adventures of serial buddies,pg13,,"artie lange, beth behrs, christopher lloyd, christopher mcdonald, david proval, gian molina, hal rudnick, henry winkler, kathie lee gifford, maria menounos, paul ashton, todd wilson",comedy,3/8/2013,keven undergaro,ind,independent,,,english,"ian keiser, john comerford",,Q1 2013,dolby sr,scope,keven undergaro,0,0,7,7,0,0,0,0,7,91
pickings,r,,"elyse price, emil ferzola, joel bernard, katie vincent","drama, crime",3/2/2018,usher morgan,ind,independent,,,english,"katie vincent, louis obioha, usher morgan",,Q1 2018,stereo,flat,usher morgan,0,0,0,0,0,0,0,0,0,103
"secret life of walter mitty, the",pg,,"adam scott, adrian martinez, ben stiller, josh charles, kathryn hahn, kristen wiig, patton oswalt, sean penn, shirley maclaine, terence bernie hines","drama, comedy",12/25/2013 (wed),ben stiller,fox,20th century fox,2014,,english,"ben stiller, john goldwyn, samuel goldwyn jr., stuart cornfeld",samuel goldwyn films,Q4 2013,quad,scope,steve conrad,"58,236,838",111,"2,909","2,922","24,874,277","7,813,372","4,388","12,765,508","2,909",114
death valley,nr,,"katrina law, kelly hu, lochlyn munro, nick e. tarabay, victoria pratt",suspense,10/16/2015,t.j. scott,idc,indican pictures,,,english,brad macpherson,,Q4 2015,dts,scope,"brad macpherson, t.j. scott","5,211",0,2,2,"5,211",0,"2,172","4,344",2,88
3 nights in the desert,r,,"amber tamblyn, vincent piazza, wes bentley",drama,2/6/2015,gabriel cowan,mont,monterey media,2015,,english,"gabriel cowan, john suits",,Q1 2015,,digital,adam chanzit,"1,297",53,2,2,258,0,117,234,2,90
getaway,pg13,,"ethan hawke, jon voight, paul freeman, rebecca budig, selena gomez","action, crime",8/30/2013,"courtney solomon, yaron levy",wb,warner bros.,2013,,english,"bobby ranghelov, christopher milburn, courtney solomon, moshe diamant","after dark films, dark castle entertainment, silver reel, thefyzz",Q3 2013,quad,scope,sean finegan,"10,501,938",88,"2,130","2,135","6,488,679","1,430,885","2,115","4,503,892","2,130",90
jazz loft according to w. eugene smith,nr,,,documentary,9/23/2016,sara fishko,fmbf,filmbuff,,,english,"calvin skaggs, sam stephenson, sara fishko",,Q3 2016,,digital,sara fishko,0,0,0,0,0,0,0,0,0,87
step brothers,r,,"adam scott, andrea savage, john c. reilly, kathryn hahn, ken jeong, mary steenburgen, richard jenkins, seth rogen, will ferrell",comedy,7/25/2008,adam mckay,sny,sony,2008,,english,"jimmy miller, judd apatow","apatow productions, columbia pictures, gary sanchez productions, mosaic media group, relativity media",Q3 2008,quad,scope,"adam mckay, will ferrell","100,468,793",130,"3,094","3,182","46,665,500","11,847,675","10,000","30,940,732","3,094",98
scarface,,,diego luna,"drama, suspense",unset,,uni,universal,,,english,"dylan clark, marc shmuger, martin bregman, scott stuber","bluegrass films, global produce",,,,"ethan coen, joel coen",0,0,0,0,0,0,0,0,0,0
tower heist,pg13,,"alan alda, ben stiller, casey affleck, eddie murphy, gabourey sidibe, judd hirsch, matthew broderick, michael pena, scottie knollin, tea leoni","comedy, crime",11/4/2011,brett ratner,uni,universal,2012,,english,"brian grazer, eddie murphy","imagine entertainment, rat entertainment, relativity media",Q4 2011,quad,scope,"jeff nathanson, ted griffin","78,046,570",109,"3,367","3,370","30,691,850","8,062,980","7,135","24,025,190","3,367",105
"watch, the",r,,"andy samberg, ben stiller, billy crudup, jonah hill, richard ayoade, rosemarie dewitt, vince vaughn, will forte",comedy,7/27/2012,akiva schaffer,fox,20th century fox,2012,,english,shawn levy,21 laps entertainment,Q3 2012,quad,scope,"evan goldberg, jared stern, seth rogen","34,353,000",109,"3,168","3,168","19,013,203","4,487,725","4,025","12,750,297","3,168",102
skiing everest,nr,,,documentary,01/10/2009 (sat),"les guthman, mike marolt",ind,independent,,,english,"kenny fields, les guthman",,Q1 2009,,,les guthman,0,0,0,0,0,0,0,0,0,96
"mind's eye, the",nr,,"graham skipper, john speredakos, lauren ashley carter, noah segan","horror, suspense",8/5/2016,joe begos,rlj,rlj entertainment,2016,,english,"graham skipper, joe begos, josh ethier, zak zeman",,Q3 2016,dolby srd,scope,joe begos,0,60,0,0,0,0,0,0,0,87
"perfect game, the",pg,,"bruce mcgill, cheech marin, clifton collins jr., david koechner, emilie de ravin, gabriel morales, jake t. austin, louis gossett jr., moises arias","drama, family",4/16/2010,william dear,slcr,slowhand cinema releasing,2008,,english,"christian tureaud, daniel de liege, david salzberg, mark w. koch, w. william winokur","highroad entertainment, lone runner entertainment, mandalay integrated media entertainment (mime), prelude pictures",Q2 2010,dolby srd,flat,w. william winokur,"511,800",-493,417,417,"511,800",0,"1,227","511,800",417,118
take out,nr,,"charles jang, jeng-hua yu, justin wan, wang-thye lee",drama,6/6/2008,"sean baker, shih-ching tsou",cavu,cavu pictures,2009,,english,,,Q2 2008,stereo,digital,sean baker,"69,816",452,1,5,"14,571",0,"10,505","10,505",1,87
"pill, the",nr,,"anna chlumsky, noah bean, rachel boston",comedy,12/16/2011,j.c. khoury,ind,independent,,,english,"j.c. khoury, trevor herrick",,Q4 2011,,,j.c. khoury,0,0,0,0,0,0,0,0,0,0
"last impresario, the",nr,,,"documentary, foreign",11/28/2014,gracie otto,kns,kinosmith,2015,,english,,,Q4 2014,,,,0,284,0,0,0,0,0,0,0,0
mountain top,nr,,,"drama, family",2/10/2017,gary wheeler,ind,independent,2017,,english,,,Q1 2017,,scope,"gary wheeler, robert whitlow",0,298,0,0,0,0,0,0,0,0
bela fleck: how to write a banjo concert,,,"bela fleck, chick corea, edgar meyer, greg liszt, noam pikelny",,04/19/2014 (sat),"bela fleck, sascha paladino",ind,independent,,,english,,,Q2 2014,,,bela fleck,0,0,0,0,0,0,0,0,0,97
transformers: the last knight,pg13,,"anthony hopkins, gemma chan, isabela moner, jerrod carmichael, john goodman, john turturro, josh duhamel, laura haddock, mark wahlberg, stanley tucci","action, adventure, science fiction",06/21/2017 (wed),michael bay,par,paramount,2017,,english,"don murphy, ian bryce, lorenzo di bonaventura, tom desanto","di bonaventura pictures, hasbro",Q2 2017,,"3d, imax, scope","art marcum, ken nolan, matt holloway","130,168,683",97,"4,069","4,132","61,307,862","15,658,535","10,981","44,680,073","4,069",149
leaves of grass,r,,"edward norton, josh paris, keri russell, lucy devito, maggie siff, melanie lynskey, rhea perlman, richard dreyfuss, susan sarandon, tim blake nelson, ty burrell","comedy, crime",9/17/2010,tim blake nelson,flp,first look,2010,,english,"bill migliore, edward norton, elie cohn, john langley, kristina dubin, tim blake nelson",millennium films,Q3 2010,dolby srd,,tim blake nelson,"70,066",25,3,6,"26,507",0,"6,996","20,987",3,105
"hunger games: mockingjay part 2, the",pg13,,"=""donald sutherland, elden henson, elizabeth banks, evan ross, gwendoline christie, jeffrey wright, jena malone, jennifer lawrence, josh hutcherson, julianne moore, liam hemsworth, lily rabe, mahershala ali, meta golding, natalie dormer, omid abtahi, pati","action, adventure, foreign, science fiction",11/20/2015,francis lawrence,lgf,lionsgate,2012,,english,"jon kilik, nina jacobson",color force,Q4 2015,dolby srd,"imax, scope","danny strong, peter craig","281,723,902","-1,172","4,175","4,175","146,540,534","45,579,056","24,591","102,665,981","4,175",136
balls out,r,,"beck bennett, jake lacy, jay pharoah, kate mckinnon, nick kocher, nick rutherford, nikki reed",comedy,06/18/2015 (thu),andrew disney,orirl,orion releasing,2014,,english,"andrew shinjang lee, bradley jackson, david james ward, red sanders, russell wayne groves",,Q2 2015,dolby srd,scope,bradley jackson,"4,208",-268,10,10,0,0,0,0,0,100
addicted to fresno,r,,"aubrey plaza, fred armisen, jessica st. clair, judy greer, kumail nanjiani, malcolm barrett, molly shannon, natasha lyonne, ron livingston",comedy,10/2/2015,jamie babbit,grav,gravitas ventures,2016,,english,"andrea sperling, stephanie meurer",,Q4 2015,dolby srd,flat,karey dornetto,0,312,0,0,0,0,0,0,0,85
my name is bruce,r,,"adam boyd, bruce campbell, janelle farber","comedy, horror",10/31/2008,bruce campbell,ind,independent,2009,,english,"bruce campbell, mike richardson",dark horse entertainment,Q4 2008,dolby srd,flat,mark verheiden,"173,066",102,1,4,"21,768","4,876","16,432","16,432",1,84
oka!,nr,,"isaach de bankole, kris marshall, will yun li",adventure,10/14/2011,lavinia currier,dada,dada films,,,english,"james bruce, lavinia currier, norbert bogbeyate",,Q4 2011,,,"lavinia currier, suzanne stroh","18,364",0,1,2,"5,951",0,"4,461","4,461",1,105
"art of getting by, the",pg13,,"alicia silverstone, blair underwood, elizabeth reaser, emma roberts, freddie highmore, michael angarano, rita wilson, sam robards",drama,6/17/2011,gavin wiesen,fsl,fox searchlight,2011,,english,"darren goldberg, gia walsh, kara baker, p. jennifer dana","gigi productions, goldcrest pictures, mint pictures",Q2 2011,,,gavin wiesen,"1,430,241",165,610,610,"1,216,748","296,079","1,113","679,160",610,0
jug face,r,,"daniel manche, kaitlin cullum, larry fessenden, lauren ashley carter, sean bridgers, sean young","horror, drama, suspense",8/9/2013,chad crawford kinkle,ind,independent,2013,,english,,,Q3 2013,,scope,chad crawford kinkle,0,67,0,0,0,0,0,0,0,81
aatsinki: the story of arctic cowboys,nr,,,documentary,1/24/2014,jessica oreck,argt,argot pictures,,,english,jessica oreck,,Q1 2014,stereo,digital,,"5,964",0,1,2,"5,359",895,"2,842","2,842",1,85
"bling ring, the",r,,"brenda koo, emma watson, erin daniels, gavin rossdale, halston sage, joe nieves, leslie mann, maika monroe, nina siemaszko, stacy edwards, taissa farmiga","drama, comedy, crime",6/14/2013,sofia coppola,a24,a24,2013,,english,"roman coppola, sofia coppola, youree henley",,Q2 2013,dolby sr,flat,sofia coppola,"5,845,732",95,5,650,"339,383","77,497","42,507","212,537",5,87
30 years of garbage: the garbage pail ki,pg,,,documentary,08/12/2017 (sat),"jeff zapata, joe simko",idc,indican pictures,,,english,"eric m. klein, jason tobin, june gonzalez",,Q3 2017,dolby sr,scope,"adam f. goldberg, krystle-dawn willing","27,739",0,2,2,"6,744",0,"2,515","5,030",2,114
noah's arc: jumping the broom,r,,"darryl stephens, douglas spearman, gary leroi gray, jensen atwood, tonya pinkins",drama,10/24/2008,patrik-ian polk,ind,independent,2009,,english,"carol ann shine, lael mccall, patrik-ian polk, suzanne l. berger",,Q4 2008,dolby sr,flat,"john r. gordon, patrik-ian polk","532,878",102,5,9,"213,592","53,896","30,171","150,854",5,101
hereditary,r,,"alex wolff, ann dowd, gabriel byrne, toni collette",horror,6/8/2018,ari aster,a24,a24,,,english,"buddy patrick, kevin scott frakes, lars knudsen",palmstar media,Q2 2018,,,ari aster,0,0,0,0,0,0,0,0,0,126
perestroika (the restructuring),nr,,"ally sheedy, f. murray abraham, sam robards","drama, foreign",3/20/2009,slava tsukerman,ind,independent,2009,,english,robert waterfield,,Q1 2009,stereo,digital,,"26,064",221,1,1,"4,520",0,"3,532","3,532",1,92
sole survivor,nr,,,documentary,8/16/2013,ky dickens,ind,independent,,,english,"amy mcintyre, ky dickens",,Q3 2013,stereo,,,0,0,0,0,0,0,0,0,0,91
untitled fox/lightstorm film (12/21/18),,,,,unset,,ind,independent,,,english,,,,,,,0,0,0,0,0,0,0,0,0,0
ricki and the flash,pg13,,"ben platt, charlotte rae, doris mccarthy, kevin kline, lisa joyce, mamie gummer, maria di angelis, meryl streep, rick springfield, sebastian stan","comedy, drama",8/7/2015,jonathan demme,sny,sony,2015,,english,"marc platt, mason novick","mxn entertainment, marc platt productions",Q3 2015,quad,scope,diablo cody,"26,839,498",109,"1,603","2,064","10,085,717","2,262,789","4,129","6,618,610","1,603",102
eat pray love,pg13,,"arlene tur, billy crudup, james franco, javier bardem, julia roberts, richard jenkins, viola davis",drama,8/13/2010,ryan murphy,sny,sony,2010,,english,"brad pitt, dede gardner","columbia pictures, plan b entertainment, red om films",Q3 2010,quad,flat,"jennifer salt, ryan murphy","80,574,010",102,"3,082","3,108","35,102,916","8,456,809","7,497","23,104,523","3,082",140
"beat hotel, the",nr,,,documentary,3/30/2012,alan govenar,fsr,first run,2012,,english,,,Q1 2012,stereo,digital,,"5,954",109,1,3,"2,097",0,"1,458","1,458",1,82
eagle eye,pg13,,"anthony azizi, anthony mackie, bill smitrovich, billy bob thornton, cameron boyce, charles carroll, eric christian olsen, ethan embry, jonathan chase, lynn cohen, michael chiklis, michelle monaghan, rosario dawson, shia labeouf","action, drama, suspense",9/26/2008,d.j. caruso,dw/par,dreamworks/paramount,2008,,english,"alex kurtzman, edward mcdonnell, patrick crowley, roberto orci","dreamworks skg, goldcrest pictures",Q3 2008,quad,"digital, imax, scope","dan mcdermott, hillary seitz, john glenn, travis adam wright","101,440,743",93,"3,510","3,614","36,904,704","9,800,184","8,305","29,150,721","3,510",118
